Cycle,Plane (x or y),Landmark 1 - 2,Landmark 2 - 3,Landmark 3 - 4,Landmark 4 - 5,Landmark 5 - 6,Landmark 6 - 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
30,y,105,67,23,101,122,74,66,-243,136,81,69,-301,128,76,71,-315,85,56,56,-499
31,x,104,85,85,-259,39,21,15,-155,4,-2,0,-79,-7,-2,4,-65,-39,-27,-21,180
31,y,103,67,24,101,122,73,66,-243,136,81,69,-301,128,76,71,-315,85,56,56,-499
32,x,105,85,85,-260,39,21,16,-156,4,-2,0,-78,-7,-2,3,-65,-39,-27,-21,182
32,y,105,67,23,101,122,73,65,-241,136,80,69,-300,128,76,70,-314,85,55,57,-500
33,x,104,85,85,-259,39,20,15,-154,4,-2,0,-78,-7,-2,4,-65,-40,-27,-21,181
33,y,104,69,24,99,122,73,66,-242,136,81,68,-300,128,76,71,-315,85,55,56,-499
34,x,105,84,84,-258,39,20,16,-155,4,-2,0,-78,-7,-2,3,-65,-39,-27,-21,181
34,y,105,68,25,98,122,73,65,-241,136,80,68,-299,129,75,70,-314,85,55,56,-498
35,x,105,84,85,-258,39,20,15,-154,4,-3,0,-77,-7,-3,4,-65,-39,-28,-21,181
35,y,104,69,25,98,122,74,66,-243,136,81,68,-300,129,75,71,-314,84,55,56,-499
36,x,105,85,84,-258,39,20,15,-154,4,-3,0,-78,-7,-2,4,-65,-40,-27,-21,181
36,y,105,68,25,99,121,74,65,-242,136,80,68,-298,128,75,71,-314,85,55,56,-499
37,x,106,84,84,-257,39,20,15,-154,4,-3,0,-77,-8,-2,4,-65,-40,-27,-21,181
37,y,104,69,26,97,122,74,66,-243,136,81,67,-299,129,75,71,-314,85,55,56,-498
38,x,106,84,83,-256,39,20,15,-154,4,-2,0,-79,-7,-1,4,-66,-40,-27,-21,181
38,y,105,69,25,98,121,74,65,-241,135,81,67,-298,128,75,71,-314,85,55,56,-498
39,x,106,83,84,-256,39,20,15,-154,4,-2,0,-79,-6,-2,4,-66,-40,-26,-21,180
39,y,105,69,25,98,121,73,66,-241,135,80,67,-296,128,75,70,-313,85,54,56,-498
40,x,106,84,83,-256,39,20,16,-155,4,-1,0,-79,-7,-1,4,-67,-39,-27,-21,180
40,y,104,69,25,98,120,73,66,-240,135,80,67,-296,127,75,71,-313,85,54,56,-498
41,x,106,84,83,-255,39,20,16,-155,3,-2,1,-79,-7,-2,4,-66,-39,-27,-21,181
41,y,105,69,24,99,121,74,65,-241,136,79,67,-296,127,75,71,-312,84,54,56,-499
42,x,106,83,83,-255,39,20,15,-154,4,-2,0,-78,-7,-2,5,-67,-40,-26,-21,178
42,y,105,69,25,97,122,73,66,-242,135,80,68,-297,127,76,70,-312,84,55,57,-500
43,x,106,84,84,-257,40,21,15,-155,4,-2,0,-79,-6,-2,4,-66,-39,-27,-21,180
43,y,106,69,24,98,122,73,66,-241,135,79,68,-297,128,75,70,-312,84,55,56,-499
44,x,105,84,84,-256,40,20,16,-156,4,-2,0,-78,-7,-1,4,-66,-40,-27,-21,179
44,y,106,69,24,98,122,73,66,-241,135,80,67,-297,128,75,70,-312,84,55,56,-500
45,x,105,84,85,-258,40,21,16,-156,4,-1,0,-79,-7,-1,4,-67,-38,-27,-21,179
45,y,106,70,24,97,121,74,65,-241,135,80,67,-296,128,75,70,-312,84,55,56,-499
46,x,105,84,84,-256,40,21,16,-157,4,-2,1,-79,-7,-1,4,-66,-39,-27,-21,179
46,y,104,69,25,98,122,73,65,-241,136,80,67,-297,128,75,70,-312,84,55,56,-500
47,x,105,84,84,-257,40,21,17,-157,4,-1,0,-79,-7,-1,4,-66,-39,-27,-21,179
47,y,105,69,25,97,121,74,65,-241,136,79,68,-297,128,75,70,-312,84,55,56,-499
48,x,105,84,85,-258,40,21,17,-157,4,-1,0,-79,-7,-2,5,-66,-39,-27,-21,179
48,y,106,68,24,98,121,73,66,-241,135,80,67,-296,128,75,70,-312,84,55,55,-499
49,x,105,85,84,-258,40,22,16,-157,4,-1,1,-80,-7,-1,4,-66,-39,-27,-21,179
49,y,105,69,24,98,121,73,65,-240,135,80,67,-296,128,75,70,-312,84,55,56,-499
50,x,104,85,85,-258,41,21,17,-158,4,-1,1,-80,-7,-1,5,-67,-39,-27,-21,179
50,y,105,69,24,98,121,73,65,-240,135,80,67,-296,128,75,70,-312,84,55,56,-499
51,x,105,85,84,-258,41,21,17,-158,5,-2,1,-80,-6,-2,4,-66,-39,-26,-21,179
51,y,105,69,24,98,120,74,65,-240,135,79,67,-295,127,75,71,-313,85,54,56,-498
52,x,104,84,85,-257,41,21,17,-159,5,-1,0,-80,-6,-1,4,-67,-38,-27,-21,178
52,y,104,69,25,97,121,73,66,-241,135,80,67,-296,128,75,71,-313,84,55,56,-498
53,x,104,84,85,-256,41,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-38,-27,-21,179
53,y,105,69,25,97,121,73,65,-240,136,80,67,-297,128,76,71,-314,84,55,56,-498
54,x,104,84,84,-256,41,21,16,-158,5,-1,0,-80,-6,-1,4,-67,-39,-26,-21,177
54,y,104,69,25,97,121,73,65,-240,135,80,68,-297,128,75,71,-313,84,55,56,-498
55,x,105,84,84,-256,41,21,16,-157,5,-2,0,-80,-6,-1,4,-67,-39,-27,-21,179
55,y,104,70,24,98,120,74,65,-240,135,80,67,-296,128,76,71,-314,85,54,56,-499
56,x,105,84,84,-256,40,22,16,-158,5,-2,1,-80,-6,-2,4,-66,-40,-27,-21,179
56,y,106,69,24,98,121,73,66,-241,135,81,67,-297,128,76,71,-314,85,54,57,-499
57,x,105,84,84,-257,41,22,16,-158,5,-2,1,-80,-6,-2,4,-66,-40,-27,-21,180
57,y,104,69,25,98,120,74,65,-240,135,80,68,-297,128,76,71,-315,85,55,56,-498
58,x,105,84,84,-256,41,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-39,-26,-21,179
58,y,104,69,25,98,120,74,65,-240,135,80,67,-296,128,75,72,-315,85,55,56,-498
59,x,105,84,84,-257,42,21,16,-158,5,-2,1,-80,-6,-2,4,-67,-39,-26,-21,179
59,y,104,69,25,97,121,73,66,-240,135,80,67,-296,128,75,71,-314,85,55,56,-498
60,x,105,84,84,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-40,-26,-21,179
60,y,104,68,26,97,121,73,66,-240,135,79,68,-297,129,75,71,-314,84,56,56,-498
61,x,104,83,85,-256,41,21,16,-158,5,-1,0,-80,-6,-1,3,-66,-40,-26,-21,179
61,y,104,68,26,97,121,73,66,-240,134,80,68,-297,128,76,71,-314,84,55,57,-498
62,x,104,83,85,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-27,-21,179
62,y,104,68,26,97,121,74,65,-240,135,80,67,-297,128,76,71,-314,84,55,57,-498
63,x,104,84,85,-256,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-27,-21,179
63,y,104,69,25,97,121,73,66,-241,135,80,67,-296,128,76,71,-314,84,55,57,-498
64,x,104,83,84,-254,40,21,16,-157,4,-2,1,-80,-6,-2,4,-66,-40,-27,-21,180
64,y,104,69,25,97,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-498
65,x,104,83,84,-255,41,21,16,-158,5,-1,0,-80,-6,-2,4,-66,-39,-28,-21,180
65,y,103,69,26,96,121,74,65,-241,135,80,68,-297,128,75,72,-314,84,55,57,-497
66,x,104,84,84,-255,40,21,16,-157,4,-1,0,-80,-6,-2,4,-66,-40,-27,-21,180
66,y,103,69,26,96,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-497
67,x,104,84,84,-256,41,21,16,-157,4,-1,0,-80,-6,-1,4,-67,-40,-27,-21,180
67,y,104,68,26,96,121,74,65,-241,135,80,68,-297,128,76,71,-314,84,55,57,-497
68,x,104,84,84,-256,41,21,15,-156,4,-1,0,-80,-6,-2,5,-67,-40,-27,-21,180
68,y,104,69,25,96,121,73,66,-241,135,80,68,-297,128,76,71,-314,84,55,56,-496
69,x,103,84,85,-256,41,21,15,-157,5,-2,1,-80,-6,-2,4,-66,-40,-27,-22,181
69,y,104,69,25,96,121,73,66,-241,135,80,68,-297,128,75,72,-314,84,55,57,-497
70,x,103,84,84,-255,40,21,16,-157,4,-1,0,-79,-7,-1,4,-66,-40,-28,-21,181
70,y,104,69,26,95,121,74,65,-241,135,80,68,-297,128,75,72,-314,84,55,56,-496
71,x,103,84,84,-255,40,21,17,-159,5,-2,1,-80,-6,-2,4,-66,-40,-27,-22,181
